@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data
167000,5000,2002,110,1,1,1,0
196700,10750,2006,130,0,1,1,0
192100,4990,2003,100,0,0,1,0
116183,14000,2006,170,0,1,1,1
35500,27900,2011,191,0,0,1,1
152000,10900,2009,105,1,1,1,0
214000,18990,2007,173,0,1,1,1
164000,3200,2002,85,0,1,0,1
258000,4550,2001,120,0,1,1,1
250000,16500,2006,170,0,1,1,1
136100,3500,2002,125,0,1,1,0
160743,11200,2005,110,0,1,1,0
280000,2650,2000,87,0,1,1,0
198000,9450,2007,130,0,1,1,0
271000,3800,2001,125,0,1,1,0
262273,4000,2001,100,0,1,1,0
260616,4650,2004,85,1,1,1,0
246000,8000,2004,160,0,1,1,0
250000,3500,2001,141,0,1,1,0
275000,4300,2000,100,0,1,1,0
202000,3750,2001,100,0,1,1,0
285000,5000,2002,142,0,1,1,1
325000,3800,2001,100,0,1,1,0
104000,36000,2009,173,1,1,1,1
198000,4950,2002,100,0,1,1,0
215000,12000,2007,217,0,1,1,1
195000,5490,2001,100,1,1,1,0
175000,4899,2002,85,0,1,1,0
183000,6000,2004,150,1,0,0,0
237200,3200,2001,100,1,1,1,0
290000,1250,1996,95,0,1,1,0
190000,3390,2001,100,0,1,1,0
250000,640,1988,75,0,0,1,0
160000,6700,2004,170,1,1,1,1
300000,8999,2004,247,0,0,1,1
200000,1000,1993,80,1,1,1,0
209000,3350,2001,100,1,1,1,1
153000,23699,2011,135,0,1,1,1
335000,1850,1993,85,0,1,1,0
430000,3200,2001,142,0,0,1,1
235000,2100,1988,95,0,1,1,0
312000,550,1993,83,0,0,1,0
195000,3650,2001,87,0,1,1,0
174600,12900,2006,190,0,1,0,1
260000,3950,2001,100,0,0,1,0
110000,14000,2007,160,0,1,1,1
260000,1700,1992,83,0,1,1,0
170000,3700,2001,77,0,1,1,0
193000,3500,2002,110,0,1,1,0
275000,1450,1990,83,0,1,1,0
256400,10300,2005,130,1,1,1,0
166000,6800,2003,125,0,1,1,0
199600,2400,2000,77,0,1,0,0
287665,690,1987,55,1,1,1,0
188900,4800,2005,110,0,1,1,0
191456,3750,2002,110,1,1,1,0
205668,9990,2006,160,0,1,1,0
160000,3990,2003,110,0,1,1,0
168000,7690,2007,90,0,0,1,0
175854,4999,2003,110,0,1,1,0
173450,4650,2002,110,0,1,1,0
161130,13500,2007,130,0,1,1,1
186363,3650,2000,100,0,1,1,0
134100,11500,2010,105,0,1,0,1
194000,12999,2008,130,1,0,1,0
182000,4890,2003,110,0,0,1,0
184000,5550,2004,110,1,1,1,0
135109,4150,2004,85,0,1,0,1
199000,9200,2007,120,1,1,1,0
241000,10300,2008,120,0,1,1,0
172830,7750,2006,110,0,1,1,0
165000,5400,2004,110,0,1,1,0
161000,3799,2003,105,1,0,1,0
193000,12900,2007,120,0,1,1,1
172000,9700,2004,129,1,1,1,1
240000,3690,2002,110,0,1,1,0
215000,26500,2009,210,1,1,1,1
101800,21500,2007,173,1,1,1,1
172000,8990,2007,120,1,1,1,1
207000,8100,2005,120,0,0,1,0
220000,3700,2003,85,0,1,0,0
180000,8700,2009,85,0,1,1,0
